GOLD weekly prices,,,,,,,,,,
,,,,,,,,,,
Param,Value,,,,,,,,,
length,13,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Date,Open,High,Low,Close,Volume,Gain,AvgGain,Loss,AvgLoss,RSI
5/01/1979,229.35,229.7,219.5,224.8,121888889,0,0,0,0,0
12/01/1979,225.7,228,217.5,219.4,150522222,0,0,5.40000000000001,0.415384615384616,0
19/01/1979,220.15,237.5,216.6,237,152477778,17.6,1.35384615384615,0,0.383431952662722,77.9291553133515
26/01/1979,237.5,243.2,234,240.2,168800000,3.19999999999999,1.49585798816568,0,0.353937187073282,80.8661417322834
2/02/1979,240.25,243.5,232,242.5,149655556,2.30000000000001,1.55771506599909,0,0.326711249606107,82.6625617090695
9/02/1979,242.55,257.55,240,247.3,140211111,4.80000000000001,1.80712159938378,0,0.301579615021022,85.6983240223464
16/02/1979,248,253.3,240.5,250.6,133288889,3.29999999999998,1.92195839943118,0,0.278381183096328,87.348262726949
23/02/1979,251,258.8,248.5,255.7,107888889,5.09999999999999,2.16642313793647,0,0.256967245935072,89.3963742843385
2/03/1979,255.85,257,242,243.2,140155556,0,1.99977520424905,12.5,1.19873899624776,62.522004871463
9/03/1979,243.65,246.9,235,245.9,160577777,2.70000000000002,2.05363865007605,0,1.1065283042287,64.9851314747343
16/03/1979,246.8,250.1,242,248,158533333,2.09999999999999,2.0572049077625,0,1.02141074236495,66.8224014153028
23/03/1979,248.1,249,243.5,246.4,178744445,0,1.89895837639616,1.59999999999999,1.06591760833688,64.0484926241238
30/03/1979,247.3,252,241,243.8,171966667,0,1.75288465513492,2.59999999999999,1.18392394615712,59.6867175601346
6/04/1979,244,246,241.3,244.3,192988890,0.5,1.65650891243223,0,1.0928528733758,60.2506705731848
13/04/1979,245.25,245.25,234.9,235.6,132011112,0,1.52908514993744,8.70000000000002,1.67801803696228,47.6780777177174
20/04/1979,236.15,244.3,231.8,239,163111111,3.40000000000001,1.67300167686533,0,1.54893972642672,51.9252670193171
27/04/1979,239.65,248.8,237.8,248.5,172122223,9.5,2.27507847095261,0,1.42979051670159,61.4077981848723
4/05/1979,248.55,251.5,246.2,250.3,166100000,1.80000000000001,2.23853397318703,0,1.31980663080147,62.9094913139537
11/05/1979,250.65,255.3,246.1,249.8,155677778,0,2.06633905217264,0.5,1.25674458227828,62.1813736720493
18/05/1979,250.1,274.9,250.1,274.4,149033332,24.6,3.7996975866209,0,1.16007192210303,76.6103662667684
25/05/1979,275.4,281.5,267.5,275.3,155400001,0.900000000000034,3.5766439261116,0,1.07083562040279,76.9587878830813
1/06/1979,275.85,282,269.5,276.9,123500000,1.59999999999997,3.42459439333378,0,0.988463649602578,77.6013902381199
8/06/1979,277.8,294.75,275.3,284.6,193077778,7.70000000000005,3.75347174769273,0,0.912427984248533,80.4447579959264
15/06/1979,285.25,286.7,278.4,283.1,214500001,0,3.46474315171636,1.5,0.957625831614031,78.3458631510919
22/06/1979,283.9,287.5,279.5,284.6,187155555,1.5,3.3136090631228,0,0.883962306105259,78.9411012142523
29/06/1979,285.35,288.6,275.5,283.8,195433332,0,3.0587160582672,0.800000000000011,0.877503667174087,77.7069440127428
6/07/1979,284.55,303.5,282.3,301.4,147322223,17.6,4.17727636147741,0,0.810003385083772,83.7586133875429
13/07/1979,301.55,304.5,297,301.4,204111111,0,3.85594741059453,0,0.747695432385021,83.7586133875429
20/07/1979,302.35,315,302.35,313.7,166644445,12.3,4.50548991747188,0,0.690180399124635,86.7162395404498
27/07/1979,314.05,319.5,314.05,317.3,168300000,3.60000000000002,4.43583684689712,0,0.63708959919197,87.4413791336729
3/08/1979,317.5,317.5,293,295.8,183833333,0,4.09461862790503,21.5,2.24192886079259,64.6190790049081
10/08/1979,296.4,314.5,288,312.7,209933334,16.9,5.07964796422003,0,2.06947279457777,71.0527648867722
17/08/1979,313.2,313.2,298.5,307.3,230722222,0,4.68890581312618,5.39999999999998,2.32566719499487,66.8452065107548
24/08/1979,307.95,326,305.3,320.7,197833334,13.4,5.35898998134724,0,2.1467697184568,71.3983686619644
31/08/1979,320.95,330,320.95,326.7,164400000,6,5.40829844432053,0,1.98163358626782,73.1846845401899
7/09/1979,327.05,348,327.05,346.3,155211112,19.6,6.49996779475742,0,1.82920023347798,78.0386200965439
14/09/1979,347.05,359.2,340,354.4,213422222,8.09999999999997,6.62304719516069,0,1.68849252321045,79.6849611453057
21/09/1979,355.3,396.8,355.3,384.2,232455556,29.8,8.40588971860987,0,1.55860848296349,84.3583846227461
28/09/1979,384.3,409,377.5,404.5,192177777,20.3,9.32082127871681,0,1.43871552273553,86.6284622722669
5/10/1979,405.15,444.5,379,393,207566667,0,8.60383502650782,11.5,2.2126604825251,79.5436471944421
12/10/1979,393.65,424.5,373,404,281899999,11,8.78815540908414,0,2.04245583002317,81.1418230704446
19/10/1979,404.15,413,377,400,189211110,0,8.11214345453921,4,2.19303615079062,78.7190885090796
26/10/1979,400.6,405.5,375,377.7,186366668,0,7.48813241957466,22.3,3.73972567765288,66.6924390630095
2/11/1979,377.85,389,365,378.5,143266667,0.800000000000011,6.97366069499199,0,3.45205447167958,66.8890391067373
9/11/1979,379.5,403.5,379.5,391.2,143988889,12.7,7.41414833383876,0,3.18651182001192,69.9404398050208
16/11/1979,391.85,414.4,385,410.9,165877778,19.7,8.35921384662039,0,2.94139552616485,73.9713547373075
23/11/1979,411.1,416.5,388.3,415.7,142688889,4.80000000000001,8.08542816611113,0,2.71513433184448,74.861176606696
30/11/1979,416.3,432.8,400,430.5,218666668,14.8,8.60193369179489,0,2.50627784477952,77.4376114775321
7/12/1979,430.95,447.8,430.95,436,201911112,5.5,8.36332340781067,0,2.31348724133494,78.3316636647474
14/12/1979,436.4,478,436.4,474.5,201722223,38.5,10.6815292995175,0,2.13552668430918,83.3383993406606
21/12/1979,474.65,500.3,467,495.5,228288889,21,11.4752578149393,0,1.97125540090078,85.3400255571189
28/12/1979,495.9,530,495.8,525,122166667,29.5,12.8617764445593,0,1.81962037006226,87.6059451764831
4/01/1980,525.95,626.5,525.95,611,179722222,86,18.4877936411317,0,1.67964957236516,91.6714798470781
11/01/1980,611,636,597,628,302244444,17,18.3733479764293,0,1.5504457591063,92.2181198034541
18/01/1980,628.35,854.8,628.35,845,304744444,217,33.6523212090116,0,1.43118070071351,95.9206446825173
25/01/1980,845.6,910.6,661,661,283955555,0,31.0636811160107,184,15.4749360314279,66.7481825203318
1/02/1980,661.9,726,625,704,303088889,43,31.9818594917022,0,14.2845563367026,69.1254313070589
8/02/1980,704.95,728,673,717.5,280500000,13.5,30.5601779923405,0,13.1857443108024,69.8583465232939
15/02/1980,718.35,742.5,673,680.5,299111112,0,28.2093950698528,37,15.0176101330484,65.2587310581477
22/02/1980,681.4,683,630.5,641.5,203955557,0,26.039441602941,39,16.8624093535831,60.6953803213033
29/02/1980,641.6,666.5,617,640,227455555,0,24.036407633484,1.5,15.6806855571537,60.5190503698544
7/03/1980,640.65,660,599,605,258666666,0,22.1874532001391,35,17.1667866681419,56.378812738858
14/03/1980,605.7,605.7,516,530,212599999,0,20.4807260308976,75,21.6154953859771,48.6521719564305
21/03/1980,530.95,569,463,565,206311111,35,21.5975932592901,0,19.9527649716712,51.9793190211214
28/03/1980,565.8,572,453,525,256433334,0,19.9362399316524,40,21.4948599738503,48.1190216458737
4/04/1980,525.4,530,483,501.5,145833333,0,18.402683013833,23.5,21.6491015143234,45.9472236521595
11/04/1980,502.35,570,502,544,175277778,42.5,20.2563227819997,0,19.9837860132216,50.3386382106533
18/04/1980,544.3,547,501,520,165677777,0,18.6981441064613,24,20.2927255506661,47.955186100968
25/04/1980,520.9,563,495,547,202755556,27,19.3367484059642,0,18.7317466621533,50.7946226173748
2/05/1980,547.8,547.8,482,516,166566667,0,17.8493062208901,31,19.6754584573723,47.5667372571958
9/05/1980,516.75,524.5,504.5,515.7,207122221,0,16.476282665437,0.299999999999955,18.1850385760359,47.5350681258013
16/05/1980,516.05,530,509,514.8,197055556,0,15.2088763065572,0.900000000000091,16.8554202240332,47.4324340533947
23/05/1980,515.25,517,495,510,204922222,0,14.0389627445144,4.79999999999995,15.9280802067999,46.8480082179703
30/05/1980,510.8,562.5,510.8,555,173566667,45,16.4205809949363,0,14.7028432678153,52.7595577411719
6/06/1980,555.2,617.5,555.2,616,218155555,61,19.8497670722489,0,13.5718553241372,59.3919913187557
13/06/1980,616.4,640,593,613,235366667,0,18.3228619128452,3,12.7586356838189,58.9510265902108
