GOLD weekly prices,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Param,Value,,,,,,,,,,,,,,
diLength,13,,,,,,,,,,,,,,
dxLength,8,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Date,Open,High,Low,Close,Volume,+DM,Avg+DM,-DM,Avg-DM,TR,ATR,+DI,-DI,DX,ADX
5/01/1979,229.35,229.7,219.5,224.8,121888889,0,0,0,0,10.2,10.2,0,0,0,0
12/01/1979,225.7,228,217.5,219.4,150522222,0,0,2,0.153846153846154,10.5,10.2230769230769,0,1.50489089541008,100,12.5
19/01/1979,220.15,237.5,216.6,237,152477778,9.5,0.730769230769231,0,0.142011834319527,20.9,11.0443786982248,6.61666220198233,1.28582909188321,67.4576271186441,19.3697033898305
26/01/1979,237.5,243.2,234,240.2,168800000,5.69999999999999,1.11301775147929,0,0.131087847064178,9.19999999999999,10.902503413746,10.2088273604756,1.20236465047928,78.9265722752716,26.8143120005106
2/02/1979,240.25,243.5,232,242.5,149655556,0,1.0274010013655,2,0.274850320366934,11.5,10.9484646896117,9.38397328294197,2.51040057358656,57.7884367202959,30.6860775904838
9/02/1979,242.55,257.55,240,247.3,140211111,14.05,2.02913938587585,0,0.253707988031016,17.55,11.4562750981031,17.7120343959951,2.21457660416189,77.7726718894202,36.5719018778509
16/02/1979,248,253.3,240.5,250.6,133288889,0,1.87305174080847,0,0.234191988951707,12.8,11.5596385520952,16.2033763630869,2.02594560285157,77.7726718894202,41.721998129297
23/02/1979,251,258.8,248.5,255.7,107888889,5.5,2.15204776074628,0,0.216177220570807,10.3,11.4627432788571,18.7742821102494,1.88591173431881,81.7435233327722,46.7246887797314
2/03/1979,255.85,257,242,243.2,140155556,0,1.98650562530426,6.5,0.699548203603821,15,11.7348399497142,16.9282719987386,5.96129309476314,47.912570025583,46.8731739354629
9/03/1979,243.65,246.9,235,245.9,160577777,0,1.83369750028086,7,1.18419834178814,11.9,11.747544568967,15.6091980712707,10.0803902878257,21.5215896267458,43.7042258968732
16/03/1979,246.8,250.1,242,248,158533333,3.19999999999999,1.93879769256694,0,1.09310616165059,8.09999999999999,11.466964217508,16.9076806711121,9.53265520774554,27.8930853872542,41.7278333331709
23/03/1979,248.1,249,243.5,246.4,178744445,0,1.78965940852333,0,1.00902107229286,5.5,11.0079669700074,16.2578559092654,9.16627997742057,27.8930853872542,39.9984898399313
30/03/1979,247.3,252,241,243.8,171966667,3,1.88276253094461,0,0.931404066731867,11,11.0073541261607,17.1045876181084,8.46165260113003,33.806046344173,39.2244344029615
6/04/1979,244,246,241.3,244.3,192988890,0,1.73793464394888,0,0.859757600060185,4.69999999999999,10.5221730395329,16.5168795211718,8.17091295524209,33.806046344173,38.5471358956129
13/04/1979,245.25,245.25,234.9,235.6,132011112,0,1.60424736364512,6.40000000000001,1.28593009236325,10.35,10.5089289595688,15.2655648336492,12.2365475807347,11.0137621695208,35.1054641798514
20/04/1979,236.15,244.3,231.8,239,163111111,0,1.4808437202878,3.09999999999999,1.42547393141223,12.5,10.6620882703712,13.8888713236684,13.3695566502996,1.90515268842629,30.9554252434233
27/04/1979,239.65,248.8,237.8,248.5,172122223,4.5,1.71308651103489,0,1.31582209053436,11,10.6880814803427,16.0280075913116,12.3111158251778,13.1157612446512,28.7254672435768
4/05/1979,248.55,251.5,246.2,250.3,166100000,2.69999999999999,1.78900293326298,0,1.21460500664711,5.30000000000001,10.2736136741625,17.4135702392841,11.8225684279112,19.1235986222977,27.5252336659169
11/05/1979,250.65,255.3,246.1,249.8,155677778,3.80000000000001,1.94369501531967,0,1.12117385228964,9.20000000000002,10.1910280069192,19.0726098878346,11.001577579106,26.8370752081027,27.4392138586901
18/05/1979,250.1,274.9,250.1,274.4,149033332,19.6,3.30187232183354,0,1.03492970980582,25.1,11.337872006387,29.1225048225407,9.12807720199003,52.2722179958672,30.5433393758372
25/05/1979,275.4,281.5,267.5,275.3,155400001,6.60000000000002,3.55557445092327,0,0.955319732128448,14,11.5426510828187,30.80379390672,8.27643255673251,57.6438864064795,33.9309077546675
